user_id,login_time,session_duration,files_accessed,files_deleted,files_copied,copy_rate,delete_rate,access_rate,activity_rate,is_idle,label
U9,13,90,7,1,2,0.02,0.01,0.08,0.11,0,0
U9,0,57,39,10,20,0.35,0.18,0.68,1.21,0,1
U4,16,79,12,1,4,0.05,0.01,0.15,0.22,0,0
U7,11,78,14,1,4,0.05,0.01,0.18,0.24,0,0
U8,13,111,14,0,5,0.05,0.0,0.13,0.17,0,0
U9,9,100,6,1,2,0.02,0.01,0.06,0.09,0,0
U7,12,44,12,2,2,0.05,0.05,0.27,0.36,0,0
U9,13,65,5,1,5,0.08,0.02,0.08,0.17,0,0
U10,9,117,11,0,5,0.04,0.0,0.09,0.14,0,0
U10,12,60,5,0,4,0.07,0.0,0.08,0.15,0,0
U8,16,167,0,0,0,0.0,0.0,0.0,0.0,1,1
U3,10,117,11,2,7,0.06,0.02,0.09,0.17,0,0
U3,17,3,35,7,14,4.67,2.33,11.67,18.67,0,1
U2,10,116,12,1,3,0.03,0.01,0.1,0.14,0,0
U9,14,91,13,0,2,0.02,0.0,0.14,0.16,0,0
U9,12,76,10,1,7,0.09,0.01,0.13,0.24,0,0
U4,10,33,7,0,5,0.15,0.0,0.21,0.36,0,0
U4,14,98,8,1,3,0.03,0.01,0.08,0.12,0,0
U9,15,160,0,0,0,0.0,0.0,0.0,0.0,1,1
U9,23,20,34,5,18,0.9,0.25,1.7,2.85,0,1
U2,13,81,0,0,0,0.0,0.0,0.0,0.0,1,1
U9,11,92,15,1,1,0.01,0.01,0.16,0.18,0,0
U10,9,115,10,2,6,0.05,0.02,0.09,0.16,0,0
U4,10,76,9,2,4,0.05,0.03,0.12,0.2,0,0
U6,15,3,50,11,28,9.33,3.67,16.67,29.67,0,1
U6,10,97,12,1,8,0.08,0.01,0.12,0.22,0,0
U4,18,101,9,2,7,0.07,0.02,0.09,0.18,0,0
U9,12,31,10,1,6,0.19,0.03,0.32,0.55,0,0
U2,13,69,6,1,2,0.03,0.01,0.09,0.13,0,0
U10,0,55,32,2,24,0.44,0.04,0.58,1.05,0,1
U7,18,112,10,1,7,0.06,0.01,0.09,0.16,0,0
U8,18,70,9,2,2,0.03,0.03,0.13,0.19,0,0
U10,17,62,10,1,2,0.03,0.02,0.16,0.21,0,0
U10,0,14,14,2,7,0.5,0.14,1.0,1.64,0,1
U5,14,96,12,2,2,0.02,0.02,0.12,0.17,0,0
U1,10,47,14,2,3,0.06,0.04,0.3,0.4,0,0
U7,9,36,9,1,5,0.14,0.03,0.25,0.42,0,0
U10,16,105,5,1,2,0.02,0.01,0.05,0.08,0,0
U7,10,120,6,2,6,0.05,0.02,0.05,0.12,0,0
U5,15,96,7,2,1,0.01,0.02,0.07,0.1,0,0
U2,10,77,13,1,6,0.08,0.01,0.17,0.26,0,0
U1,16,55,8,1,8,0.15,0.02,0.15,0.31,0,0
U2,16,69,13,2,4,0.06,0.03,0.19,0.28,0,0
U2,10,44,10,1,6,0.14,0.02,0.23,0.39,0,0
U4,13,55,15,2,4,0.07,0.04,0.27,0.38,0,0
U6,10,50,8,0,4,0.08,0.0,0.16,0.24,0,0
U4,13,57,9,2,6,0.11,0.04,0.16,0.3,0,0
U5,15,91,11,1,5,0.05,0.01,0.12,0.19,0,0
U9,22,24,11,4,10,0.42,0.17,0.46,1.04,0,1
U1,16,19,91,15,52,2.74,0.79,4.79,8.32,0,1
U3,12,113,15,2,4,0.04,0.02,0.13,0.19,0,0
U8,15,5,45,14,26,5.2,2.8,9.0,17.0,0,1
U8,16,57,15,0,6,0.11,0.0,0.26,0.37,0,0
U4,17,65,6,2,2,0.03,0.03,0.09,0.15,0,0
U5,12,32,5,2,1,0.03,0.06,0.16,0.25,0,0
U4,11,84,14,2,4,0.05,0.02,0.17,0.24,0,0
U4,13,98,15,2,3,0.03,0.02,0.15,0.2,0,0
U9,11,71,14,0,8,0.11,0.0,0.2,0.31,0,0
U2,17,65,10,2,2,0.03,0.03,0.15,0.22,0,0
U2,16,111,6,1,5,0.05,0.01,0.05,0.11,0,0
U4,18,48,10,1,7,0.15,0.02,0.21,0.38,0,0
U4,11,174,0,0,0,0.0,0.0,0.0,0.0,1,1
U9,16,168,0,0,0,0.0,0.0,0.0,0.0,1,1
U2,9,2,21,15,14,7.0,7.5,10.5,25.0,0,1
U5,18,111,10,0,5,0.05,0.0,0.09,0.14,0,0
U5,18,82,15,1,6,0.07,0.01,0.18,0.27,0,0
U1,18,89,0,0,0,0.0,0.0,0.0,0.0,1,1
U10,14,39,9,0,3,0.08,0.0,0.23,0.31,0,0
U1,15,112,15,1,5,0.04,0.01,0.13,0.19,0,0
U6,16,38,14,2,3,0.08,0.05,0.37,0.5,0,0
U10,1,13,37,7,12,0.92,0.54,2.85,4.31,0,1
U8,12,3,40,12,26,8.67,4.0,13.33,26.0,0,1
U10,14,48,6,2,4,0.08,0.04,0.12,0.25,0,0
U1,22,26,29,3,20,0.77,0.12,1.12,2.0,0,1
U6,18,35,15,0,8,0.23,0.0,0.43,0.66,0,0
U2,11,79,15,2,6,0.08,0.03,0.19,0.29,0,0
U6,14,120,8,1,2,0.02,0.01,0.07,0.09,0,0
U1,16,82,13,2,7,0.09,0.02,0.16,0.27,0,0
U6,9,34,10,2,4,0.12,0.06,0.29,0.47,0,0
U3,11,83,10,1,7,0.08,0.01,0.12,0.22,0,0
U6,17,85,13,0,2,0.02,0.0,0.15,0.18,0,0
U4,15,105,15,0,8,0.08,0.0,0.14,0.22,0,0
U9,14,51,9,0,1,0.02,0.0,0.18,0.2,0,0
U1,13,68,12,1,8,0.12,0.01,0.18,0.31,0,0
U9,22,22,12,6,25,1.14,0.27,0.55,1.95,0,1
U10,14,117,7,0,7,0.06,0.0,0.06,0.12,0,0
U4,11,70,9,1,6,0.09,0.01,0.13,0.23,0,0
U6,14,82,10,1,2,0.02,0.01,0.12,0.16,0,0
U3,16,44,6,2,3,0.07,0.05,0.14,0.25,0,0
U2,10,105,5,2,3,0.03,0.02,0.05,0.1,0,0
U2,17,101,10,2,1,0.01,0.02,0.1,0.13,0,0
U7,14,64,6,2,5,0.08,0.03,0.09,0.2,0,0
U3,13,120,6,0,3,0.03,0.0,0.05,0.07,0,0
